"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"collective-action-imitation.nlogo"
"General Analysis CA DigitalDivide"
"07/17/2025 14:04:52:878 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"rural-literacy-rate","[step]","(mean) total-enrolled","(std) total-enrolled","(mean) total-resisted","(std) total-resisted","(mean) total-undecided","(std) total-undecided","(mean) enrolled-urban","(std) enrolled-urban","(mean) enrolled-rural","(std) enrolled-rural","(mean) resisted-urban","(std) resisted-urban","(mean) resisted-rural","(std) resisted-rural","(mean) avg-trust","(std) avg-trust","(mean) avg-digital-literacy","(std) avg-digital-literacy","(mean) avg-rural-literacy","(std) avg-rural-literacy"
"0","0","300","0","100","0","600","0","153","5.0990195135927845","147","5.0990195135927845","51","6.356099432828281","49","6.356099432828281","0.469426671467993","0.013360268949599394","0.26019607843137255","0.006809315825170716","0","0"
"0","1","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287775","0.011751665591399925","0.26019607843137255","0.006809315825170716","0","0"
"0","2","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.41518157342877726","0.011751665591399948","0.26019607843137255","0.006809315825170716","0","0"
"0","3","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287775","0.011751665591400035","0.26019607843137255","0.006809315825170716","0","0"
"0","4","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287775","0.011751665591400062","0.26019607843137255","0.006809315825170716","0","0"
"0","5","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.41518157342877726","0.011751665591400132","0.26019607843137255","0.006809315825170716","0","0"
"0","6","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287775","0.011751665591399856","0.26019607843137255","0.006809315825170716","0","0"
"0","7","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.41518157342877726","0.01175166559139988","0.26019607843137255","0.006809315825170716","0","0"
"0","8","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287771","0.01175166559139994","0.26019607843137255","0.006809315825170716","0","0"
"0","9","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287774","0.011751665591399976","0.26019607843137255","0.006809315825170716","0","0"
"0","10","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.41518157342877726","0.011751665591400022","0.26019607843137255","0.006809315825170716","0","0"
"0","11","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287775","0.011751665591399979","0.26019607843137255","0.006809315825170716","0","0"
"0","12","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287775","0.011751665591400095","0.26019607843137255","0.006809315825170716","0","0"
"0","13","300","0","368.2","13.13620949893842","331.8","13.13620949893842","153","5.0990195135927845","147","5.0990195135927845","71.6","8.662563131083086","296.6","16.668533228811704","0.4151815734287775","0.011751665591400113","0.26019607843137255","0.006809315825170716","0","0"
